topic,question_en,question_hi,option1_en,option1_hi,option2_en,option2_hi,option3_en,option3_hi,option4_en,option4_hi,correct,explanation_en,explanation_hi,exam_type_year
English,The main purpose of remedial teaching in a language classroom is to:,The main purpose of remedial teaching in a language classroom is to:,Punish students who perform poorly,Punish students who perform poorly,Replace regular classroom teaching entirely,Replace regular classroom teaching entirely,Rank students according to their marks,Rank students according to their marks,"Address specific learning gaps of struggling students through targeted, individualized support","Address specific learning gaps of struggling students through targeted, individualized support",3,Remedial teaching provides targeted support to help struggling students overcome specific learning gaps.,Remedial teaching provides targeted support to help struggling students overcome specific learning gaps.,
English,Continuous and Comprehensive Evaluation (CCE) in language teaching emphasizes:,Continuous and Comprehensive Evaluation (CCE) in language teaching emphasizes:,A single annual written examination,A single annual written examination,Assessment based only on handwriting,Assessment based only on handwriting,"Regular, ongoing assessment of both scholastic and co-scholastic aspects rather than a single terminal exam","Regular, ongoing assessment of both scholastic and co-scholastic aspects rather than a single terminal exam",Grading only oral skills,Grading only oral skills,2,"CCE emphasizes continuous, holistic assessment covering scholastic and co-scholastic areas, not a single exam.","CCE emphasizes continuous, holistic assessment covering scholastic and co-scholastic areas, not a single exam.",
English,"In a linguistically diverse classroom where students speak different mother tongues, an effective pedagogical strategy is to:","In a linguistically diverse classroom where students speak different mother tongues, an effective pedagogical strategy is to:",Punish students for using their mother tongue,Punish students for using their mother tongue,Use students' home languages as a bridge/resource to support learning of the target language,Use students' home languages as a bridge/resource to support learning of the target language,Separate students by language into different classrooms permanently,Separate students by language into different classrooms permanently,Ignore linguistic differences and teach uniformly,Ignore linguistic differences and teach uniformly,1,Using students' home languages as a resource helps bridge understanding and supports target language learning.,Using students' home languages as a resource helps bridge understanding and supports target language learning.,
English,"In phonetics, two words that differ by only one sound, such as 'bit' and 'bat', are called:","In phonetics, two words that differ by only one sound, such as 'bit' and 'bat', are called:",Cognates,Cognates,Diphthongs,Diphthongs,Homophones,Homophones,Minimal pairs,Minimal pairs,3,"Minimal pairs are pairs of words differing by only one phoneme, used to teach sound discrimination.","Minimal pairs are pairs of words differing by only one phoneme, used to teach sound discrimination.",
English,The Communicative Language Teaching (CLT) approach primarily emphasizes:,The Communicative Language Teaching (CLT) approach primarily emphasizes:,Rote memorization of grammar rules,Rote memorization of grammar rules,Developing learners' ability to communicate meaningfully rather than just mastering grammatical accuracy,Developing learners' ability to communicate meaningfully rather than just mastering grammatical accuracy,Translation of texts into the mother tongue,Translation of texts into the mother tongue,Silent reading without any speaking practice,Silent reading without any speaking practice,1,CLT focuses on developing communicative competence and meaningful interaction over rote grammar mastery.,CLT focuses on developing communicative competence and meaningful interaction over rote grammar mastery.,
English,Choose the correct tense: She ___ to Mumbai twice this year.,Choose the correct tense: She ___ to Mumbai twice this year.,has been,has been,had been,had been,is,is,was,was,0,Present perfect ('has been') is used for actions repeated within an unfinished time period like 'this year'.,Present perfect ('has been') is used for actions repeated within an unfinished time period like 'this year'.,
English,"Choose the correct tense: By the time the teacher arrived, the students ___ the exercise.","Choose the correct tense: By the time the teacher arrived, the students ___ the exercise.",have already completed,have already completed,already completed,already completed,had already completed,had already completed,are already completing,are already completing,2,Past perfect is used for an action completed before another past action (teacher's arrival).,Past perfect is used for an action completed before another past action (teacher's arrival).,
English,Choose the correct tense: He ___ dinner when the phone rang.,Choose the correct tense: He ___ dinner when the phone rang.,has,has,was having,was having,have,have,had,had,1,Past continuous describes an ongoing action interrupted by another past action.,Past continuous describes an ongoing action interrupted by another past action.,
English,Choose the correct tense: I ___ this book by next Sunday.,Choose the correct tense: I ___ this book by next Sunday.,will have finished,will have finished,finished,finished,have finished,have finished,will finish,will finish,0,Future perfect describes an action that will be completed before a specific future time.,Future perfect describes an action that will be completed before a specific future time.,
English,Change to passive voice: 'The teacher is explaining the lesson.',Change to passive voice: 'The teacher is explaining the lesson.',The lesson was being explained by the teacher,The lesson was being explained by the teacher,The lesson has been explained by the teacher,The lesson has been explained by the teacher,The lesson is being explained by the teacher,The lesson is being explained by the teacher,The lesson is explained by the teacher,The lesson is explained by the teacher,2,Present continuous active becomes present continuous passive: 'is being explained'.,Present continuous active becomes present continuous passive: 'is being explained'.,
English,Change to passive voice: 'They have completed the project.',Change to passive voice: 'They have completed the project.',The project is completed by them,The project is completed by them,The project had been completed by them,The project had been completed by them,The project was completed by them,The project was completed by them,The project has been completed by them,The project has been completed by them,3,Present perfect active becomes present perfect passive: 'has been completed'.,Present perfect active becomes present perfect passive: 'has been completed'.,
English,Change to active voice: 'The cake was baked by Riya.',Change to active voice: 'The cake was baked by Riya.',Riya has baked the cake,Riya has baked the cake,Riya was baking the cake,Riya was baking the cake,Riya baked the cake,Riya baked the cake,Riya bakes the cake,Riya bakes the cake,2,Past simple passive 'was baked' converts to past simple active 'baked'.,Past simple passive 'was baked' converts to past simple active 'baked'.,
English,Choose the correct passive form: 'Please close the door.',Choose the correct passive form: 'Please close the door.',The door will be closed,The door will be closed,Let the door be closed,Let the door be closed,The door is closed by you,The door is closed by you,The door was closed,The door was closed,1,Imperative sentences are converted to passive using the structure 'Let + object + be + past participle'.,Imperative sentences are converted to passive using the structure 'Let + object + be + past participle'.,
English,"Change to indirect speech: He said, 'I am writing a letter.'","Change to indirect speech: He said, 'I am writing a letter.'",He said that he is writing a letter,He said that he is writing a letter,He said that he was writing a letter,He said that he was writing a letter,He said that he had written a letter,He said that he had written a letter,He said that he writes a letter,He said that he writes a letter,1,Present continuous in direct speech shifts to past continuous in indirect speech.,Present continuous in direct speech shifts to past continuous in indirect speech.,
English,"Change to indirect speech: She said to me, 'Where do you live?'","Change to indirect speech: She said to me, 'Where do you live?'",She asked me where I live,She asked me where I live,She asked me where do I live,She asked me where do I live,She told me where I lived,She told me where I lived,She asked me where I lived,She asked me where I lived,3,"In indirect questions, the reporting verb changes to 'asked' and word order becomes statement form with tense shift.","In indirect questions, the reporting verb changes to 'asked' and word order becomes statement form with tense shift.",
English,"Change to indirect speech: The teacher said, 'Work hard, boys.'","Change to indirect speech: The teacher said, 'Work hard, boys.'",The teacher advised the boys to work hard,The teacher advised the boys to work hard,The teacher said the boys to work hard,The teacher said the boys to work hard,The teacher ordered the boys work hard,The teacher ordered the boys work hard,The teacher told the boys that work hard,The teacher told the boys that work hard,0,Imperative sentences in indirect speech use 'to + infinitive' with an appropriate reporting verb like 'advised'.,Imperative sentences in indirect speech use 'to + infinitive' with an appropriate reporting verb like 'advised'.,
English,"Change to indirect speech: He said, 'Alas! I have failed.'","Change to indirect speech: He said, 'Alas! I have failed.'",He exclaimed with sorrow that he had failed,He exclaimed with sorrow that he had failed,He said sadly that he has failed,He said sadly that he has failed,He exclaimed that he failed,He exclaimed that he failed,He said that alas he had failed,He said that alas he had failed,0,"Exclamatory sentences change the reporting verb to express emotion, and present perfect shifts to past perfect.","Exclamatory sentences change the reporting verb to express emotion, and present perfect shifts to past perfect.",
English,Fill in with correct articles: ___ Ganges is a sacred river in ___ India.,Fill in with correct articles: ___ Ganges is a sacred river in ___ India.,"The, An","The, An","A, The","A, The","The, --","The, --","An, A","An, A",2,'The' is used before well-known river names; no article is used before the country name 'India'.,'The' is used before well-known river names; no article is used before the country name 'India'.,
English,Fill in with correct articles: She is ___ honest and ___ hardworking student.,Fill in with correct articles: She is ___ honest and ___ hardworking student.,"a, a","a, a","an, a","an, a","an, an","an, an","a, an","a, an",1,"'An' is used before 'honest' (silent h, vowel sound); 'a' is used before 'hardworking' (consonant sound).","'An' is used before 'honest' (silent h, vowel sound); 'a' is used before 'hardworking' (consonant sound).",
English,Fill in with correct articles: He bought ___ umbrella and ___ one-rupee coin.,Fill in with correct articles: He bought ___ umbrella and ___ one-rupee coin.,"an, a","an, a","a, a","a, a","a, an","a, an","an, an","an, an",0,'An' is used before 'umbrella' (vowel sound); 'a' is used before 'one-rupee' since 'one' begins with a /w/ consonant sound.,'An' is used before 'umbrella' (vowel sound); 'a' is used before 'one-rupee' since 'one' begins with a /w/ consonant sound.,
English,Choose the correct preposition: She has been living in Delhi ___ 2015.,Choose the correct preposition: She has been living in Delhi ___ 2015.,from,from,at,at,since,since,for,for,2,"'Since' is used with a specific point in time, while 'for' is used with a duration.","'Since' is used with a specific point in time, while 'for' is used with a duration.",
English,Choose the correct preposition: He is good ___ Mathematics.,Choose the correct preposition: He is good ___ Mathematics.,on,on,with,with,in,in,at,at,3,The idiomatic expression is 'good at' a subject or skill.,The idiomatic expression is 'good at' a subject or skill.,
English,Choose the correct preposition: The cat jumped ___ the table.,Choose the correct preposition: The cat jumped ___ the table.,onto,onto,at,at,to,to,in,in,0,'Onto' indicates movement to a position on top of a surface.,'Onto' indicates movement to a position on top of a surface.,
English,Choose the synonym of 'Benevolent':,Choose the synonym of 'Benevolent':,Cruel,Cruel,Selfish,Selfish,Kind,Kind,Arrogant,Arrogant,2,'Benevolent' means kind and generous in nature.,'Benevolent' means kind and generous in nature.,
English,Choose the synonym of 'Candid':,Choose the synonym of 'Candid':,Frank,Frank,Rude,Rude,Shy,Shy,Deceptive,Deceptive,0,"'Candid' means truthful and straightforward, similar to 'frank'.","'Candid' means truthful and straightforward, similar to 'frank'.",
English,Choose the synonym of 'Meticulous':,Choose the synonym of 'Meticulous':,Careful,Careful,Lazy,Lazy,Careless,Careless,Hasty,Hasty,0,"'Meticulous' means showing great attention to detail, i.e., careful.","'Meticulous' means showing great attention to detail, i.e., careful.",
English,Choose the antonym of 'Abundant':,Choose the antonym of 'Abundant':,Ample,Ample,Rich,Rich,Scarce,Scarce,Plentiful,Plentiful,2,"'Abundant' means plentiful; its opposite is 'scarce', meaning insufficient.","'Abundant' means plentiful; its opposite is 'scarce', meaning insufficient.",
English,Choose the antonym of 'Optimistic':,Choose the antonym of 'Optimistic':,Confident,Confident,Cheerful,Cheerful,Hopeful,Hopeful,Pessimistic,Pessimistic,3,"'Optimistic' means hopeful; its opposite is 'pessimistic', meaning expecting the worst.","'Optimistic' means hopeful; its opposite is 'pessimistic', meaning expecting the worst.",
English,Choose the antonym of 'Diligent':,Choose the antonym of 'Diligent':,Sincere,Sincere,Lazy,Lazy,Hardworking,Hardworking,Active,Active,1,'Diligent' means hardworking; its opposite is 'lazy'.,'Diligent' means hardworking; its opposite is 'lazy'.,
English,Give the one-word substitute: A person who can speak two languages.,Give the one-word substitute: A person who can speak two languages.,Linguist,Linguist,Interpreter,Interpreter,Translator,Translator,Bilingual,Bilingual,3,A person who can speak two languages is called 'bilingual'.,A person who can speak two languages is called 'bilingual'.,
English,Give the one-word substitute: A place where birds are kept.,Give the one-word substitute: A place where birds are kept.,Sanctuary,Sanctuary,Apiary,Apiary,Zoo,Zoo,Aviary,Aviary,3,A place where birds are kept is called an 'aviary'; an 'apiary' is for bees.,A place where birds are kept is called an 'aviary'; an 'apiary' is for bees.,
English,Give the one-word substitute: One who studies the stars and planets.,Give the one-word substitute: One who studies the stars and planets.,Astronomer,Astronomer,Botanist,Botanist,Geologist,Geologist,Astrologer,Astrologer,0,"An 'astronomer' scientifically studies stars, planets, and celestial bodies.","An 'astronomer' scientifically studies stars, planets, and celestial bodies.",
English,Choose the correct meaning of the idiom: 'To let the cat out of the bag',Choose the correct meaning of the idiom: 'To let the cat out of the bag',To take a risk,To take a risk,To escape trouble,To escape trouble,To act foolishly,To act foolishly,To reveal a secret,To reveal a secret,3,'To let the cat out of the bag' means to accidentally reveal a secret.,'To let the cat out of the bag' means to accidentally reveal a secret.,
English,Choose the correct meaning of the idiom: 'Once in a blue moon',Choose the correct meaning of the idiom: 'Once in a blue moon',Every night,Every night,Very rarely,Very rarely,Very often,Very often,Regularly,Regularly,1,'Once in a blue moon' means something that happens very rarely.,'Once in a blue moon' means something that happens very rarely.,
English,Choose the correct meaning of the idiom: 'To burn the midnight oil',Choose the correct meaning of the idiom: 'To burn the midnight oil',To start a fire,To start a fire,To work late into the night,To work late into the night,To waste time,To waste time,To relax,To relax,1,'To burn the midnight oil' means to study or work late at night.,'To burn the midnight oil' means to study or work late at night.,
English,"Read the passage and answer: 'Ravi lived in a small village near a river. Every morning, he would wake up early and help his father in the fields. In the evening, he loved to read books under a large banyan tree. Ravi dreamed of becoming a teacher one day so that he could educate the children of his village.' What did Ravi do every morning?","Read the passage and answer: 'Ravi lived in a small village near a river. Every morning, he would wake up early and help his father in the fields. In the evening, he loved to read books under a large banyan tree. Ravi dreamed of becoming a teacher one day so that he could educate the children of his village.' What did Ravi do every morning?",He went to school,He went to school,He helped his father in the fields,He helped his father in the fields,He played with friends,He played with friends,He read books,He read books,1,The passage states Ravi would wake up early every morning and help his father in the fields.,The passage states Ravi would wake up early every morning and help his father in the fields.,
English,"Read the passage and answer: 'Ravi lived in a small village near a river. Every morning, he would wake up early and help his father in the fields. In the evening, he loved to read books under a large banyan tree. Ravi dreamed of becoming a teacher one day so that he could educate the children of his village.' Where did Ravi like to read books?","Read the passage and answer: 'Ravi lived in a small village near a river. Every morning, he would wake up early and help his father in the fields. In the evening, he loved to read books under a large banyan tree. Ravi dreamed of becoming a teacher one day so that he could educate the children of his village.' Where did Ravi like to read books?",Under a large banyan tree,Under a large banyan tree,By the river,By the river,In a library,In a library,In his house,In his house,0,The passage states Ravi loved to read books under a large banyan tree in the evening.,The passage states Ravi loved to read books under a large banyan tree in the evening.,
English,"Read the passage and answer: 'Ravi lived in a small village near a river. Every morning, he would wake up early and help his father in the fields. In the evening, he loved to read books under a large banyan tree. Ravi dreamed of becoming a teacher one day so that he could educate the children of his village.' What was Ravi's dream?","Read the passage and answer: 'Ravi lived in a small village near a river. Every morning, he would wake up early and help his father in the fields. In the evening, he loved to read books under a large banyan tree. Ravi dreamed of becoming a teacher one day so that he could educate the children of his village.' What was Ravi's dream?",To become a farmer,To become a farmer,To become a teacher and educate village children,To become a teacher and educate village children,To become a writer,To become a writer,To leave the village,To leave the village,1,The passage states Ravi dreamed of becoming a teacher to educate the children of his village.,The passage states Ravi dreamed of becoming a teacher to educate the children of his village.,
English,"Read the passage and answer: 'Ravi lived in a small village near a river. Every morning, he would wake up early and help his father in the fields. In the evening, he loved to read books under a large banyan tree. Ravi dreamed of becoming a teacher one day so that he could educate the children of his village.' Where did Ravi live?","Read the passage and answer: 'Ravi lived in a small village near a river. Every morning, he would wake up early and help his father in the fields. In the evening, he loved to read books under a large banyan tree. Ravi dreamed of becoming a teacher one day so that he could educate the children of his village.' Where did Ravi live?",In a big city,In a big city,In a village near the sea,In a village near the sea,In a small village near a river,In a small village near a river,In a town near the mountains,In a town near the mountains,2,The passage begins by stating that Ravi lived in a small village near a river.,The passage begins by stating that Ravi lived in a small village near a river.,
English,"Read the passage and answer: 'Ravi lived in a small village near a river. Every morning, he would wake up early and help his father in the fields. In the evening, he loved to read books under a large banyan tree. Ravi dreamed of becoming a teacher one day so that he could educate the children of his village.' What can we infer about Ravi's character from the passage?","Read the passage and answer: 'Ravi lived in a small village near a river. Every morning, he would wake up early and help his father in the fields. In the evening, he loved to read books under a large banyan tree. Ravi dreamed of becoming a teacher one day so that he could educate the children of his village.' What can we infer about Ravi's character from the passage?",He wanted to move to a city,He wanted to move to a city,He was lazy and uninterested in studies,He was lazy and uninterested in studies,He was hardworking and had a desire to help others through education,He was hardworking and had a desire to help others through education,He disliked his village,He disliked his village,2,"Ravi's habits of helping his father, reading regularly, and wanting to educate others show he was hardworking and altruistic.","Ravi's habits of helping his father, reading regularly, and wanting to educate others show he was hardworking and altruistic.",
